,Units,scenario,region,sector,subsector,technology,Year,value
71,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2060,17540.4
72,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2065,17290.6
73,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2070,17135.1
74,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2075,17041.1
75,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2080,16957.5
76,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2085,16883.0
77,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2090,16816.6
78,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2095,16757.3
79,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2100,16704.4
80,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2005,17.6868
81,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2010,23.9706
82,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2015,22.4806
83,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2020,20.5057
84,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2025,19.1906
85,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2030,17.8699
86,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2035,17.0112
87,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2040,16.4406
88,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2045,15.8236
89,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2050,15.5234
90,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2055,15.4394
91,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2060,15.2637
92,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2065,15.1067
93,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2070,15.0215
94,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2075,15.0006
95,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2080,14.9849
96,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2085,14.963
97,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2090,14.938
98,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2095,14.9428
99,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2100,14.9505
100,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming,2005,2.42717
101,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming,2010,3.37015
102,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming,2015,3.35442
103,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming,2020,3.51675
