,region,sector,Year,value
195,Brazil,building,2070,0.0023536893
196,Brazil,building,2075,0.0027012764
197,Brazil,building,2080,0.0032652663000000003
198,Brazil,building,2085,0.0039169062000000004
199,Brazil,building,2090,0.0047815813
200,Brazil,building,2095,0.006065066
201,Brazil,building,2100,0.007349008000000001
202,Brazil,chemical energy use,2055,0.00205909
203,Brazil,chemical energy use,2060,0.00504088
204,Brazil,chemical energy use,2065,0.00862751
205,Brazil,chemical energy use,2070,0.011878310000000001
206,Brazil,chemical energy use,2075,0.01446534
207,Brazil,chemical energy use,2080,0.016713846999999997
208,Brazil,chemical energy use,2085,0.0186902633
209,Brazil,chemical energy use,2090,0.020413025799999998
210,Brazil,chemical energy use,2095,0.0223701268
211,Brazil,chemical energy use,2100,0.0249486911
212,Brazil,construction energy use,2025,4.7911e-05
213,Brazil,construction energy use,2030,0.0001703888
214,Brazil,construction energy use,2035,0.0003838385
215,Brazil,construction energy use,2040,0.0006618270799999999
216,Brazil,construction energy use,2045,0.0009585555
217,Brazil,construction energy use,2050,0.0012461522
218,Brazil,construction energy use,2055,0.0014783220999999998
219,Brazil,construction energy use,2060,0.0016779833000000002
220,Brazil,construction energy use,2065,0.001868441
221,Brazil,construction energy use,2070,0.0020421040000000003
222,Brazil,construction energy use,2075,0.0021939100000000003
223,Brazil,construction energy use,2080,0.0023304069999999996
224,Brazil,construction energy use,2085,0.0024546240000000003
225,Brazil,construction energy use,2090,0.002566122
226,Brazil,construction energy use,2095,0.002673196
227,Brazil,construction energy use,2100,0.0027758369999999997
228,Brazil,industry,2025,0.0009158884
229,Brazil,industry,2030,0.0023429999
230,Brazil,industry,2035,0.0037029205
231,Brazil,industry,2040,0.00430947377
232,Brazil,industry,2045,0.004445185
233,Brazil,industry,2050,0.0042896315
234,Brazil,industry,2055,0.004223835
235,Brazil,industry,2060,0.0044520181999999995
236,Brazil,industry,2065,0.005191642
237,Brazil,industry,2070,0.006160328
238,Brazil,industry,2075,0.007021647000000001
239,Brazil,industry,2080,0.007875492000000001
240,Brazil,industry,2085,0.0088402593
241,Brazil,industry,2090,0.0101664495
242,Brazil,industry,2095,0.012409521100000001
243,Brazil,industry,2100,0.015842936699999997
244,Brazil,mining energy use,2025,0.000357453
245,Brazil,mining energy use,2030,0.001224352
246,Brazil,mining energy use,2035,0.002314453
247,Brazil,mining energy use,2040,0.0031037803999999997
248,Brazil,mining energy use,2045,0.00388644
249,Brazil,mining energy use,2050,0.004421329
250,Brazil,mining energy use,2055,0.0046654999999999995
