,sector,region,scenario,Year,value
139,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,3.060626453607867
140,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,2.6848668495939343
141,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,2.392626804123833
142,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,2.1464012655740836
143,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,1.9103401139047462
144,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,1.6778095729851383
145,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,1.4459191722955127
146,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,1.2164093039154489
147,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,0.9935046721417544
148,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,0.7845860381136229
149,agriculture,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,0.595327682694378
150,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,48.888582086912095
151,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,48.307076159141474
152,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,52.820299291410734
153,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,66.97109703367707
154,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,67.12246808828709
155,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,78.52916229524176
156,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,93.42098772467548
157,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,114.01432300772296
158,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,134.12625296470262
159,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,146.991866136254
160,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,143.98112721146833
161,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,123.85715833624359
162,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,94.7281671567909
163,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,64.6409665842189
164,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,45.693986606951654
165,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,33.026154527497575
166,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,23.78182959736835
167,building,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,17.08907076052626
