,Year,region,mode,technology,value
259,2035,Africa_Western,aviation,BEV,0.0002389916157
262,2035,Africa_Western,rail,BEV,0.000729037
263,2035,Africa_Western,rail,Electric,0.0001243216
264,2035,Africa_Western,rail,FCEV,0.000920353
267,2035,Africa_Western,road,BEV,0.053517310872880995
268,2035,Africa_Western,road,FCEV,0.025296016563
271,2035,Africa_Western,shipping,BEV,1.984201e-05
272,2035,Africa_Western,shipping,FCEV,2.429634e-05
275,2035,Brazil,aviation,BEV,0.0003178662319
278,2035,Brazil,rail,BEV,0.0038452
279,2035,Brazil,rail,Electric,0.032595816
280,2035,Brazil,rail,FCEV,0.00557659
283,2035,Brazil,road,BEV,0.22743347849379003
284,2035,Brazil,road,FCEV,0.07119216457
288,2035,Brazil,shipping,BEV,4.327441e-05
289,2035,Brazil,shipping,FCEV,5.15776e-05
292,2035,China,aviation,BEV,0.005300419919
295,2035,China,rail,BEV,0.109685
296,2035,China,rail,Electric,0.23591280000000003
297,2035,China,rail,FCEV,0.131085
300,2035,China,road,BEV,0.3300406092236
301,2035,China,road,FCEV,0.16053832683000002
305,2035,China,shipping,BEV,0.0018165201
306,2035,China,shipping,FCEV,0.000683747
309,2035,India,aviation,BEV,0.0005718446048
312,2035,India,rail,BEV,0.0140866
313,2035,India,rail,Electric,0.09530221
314,2035,India,rail,FCEV,0.0203481
317,2035,India,road,BEV,0.2605554330799999
318,2035,India,road,FCEV,0.11436912233499999
322,2035,India,shipping,BEV,2.363408e-05
323,2035,India,shipping,FCEV,5.527720000000001e-05
326,2035,South Asia,aviation,BEV,2.4422796299999997e-05
329,2035,South Asia,rail,BEV,0.000605263
330,2035,South Asia,rail,Electric,0.00040506829999999996
331,2035,South Asia,rail,FCEV,0.000528398
334,2035,South Asia,road,BEV,0.060504714143110004
335,2035,South Asia,road,FCEV,0.026889385136499997
339,2035,South Asia,shipping,BEV,4.1121941e-05
340,2035,South Asia,shipping,FCEV,1.786611e-05
343,2040,Africa_Western,aviation,BEV,0.0009393244379999999
346,2040,Africa_Western,rail,BEV,0.00105752
