,Year,region,mode,technology,value
679,2045,European Free Trade Association,rail,FCEV,0.000657923
682,2045,European Free Trade Association,road,BEV,0.02117865651333
683,2045,European Free Trade Association,road,FCEV,0.0109549748545
687,2045,European Free Trade Association,shipping,BEV,0.00058026276
688,2045,European Free Trade Association,shipping,FCEV,0.0001070584
691,2045,Russia,aviation,BEV,0.00884227836
694,2045,Russia,rail,BEV,0.0505419
695,2045,Russia,rail,Electric,0.24907822999999998
696,2045,Russia,rail,FCEV,0.0520691
699,2045,Russia,road,BEV,0.1552347148496
700,2045,Russia,road,FCEV,0.05255028918
704,2045,Russia,shipping,BEV,0.00096652
705,2045,Russia,shipping,FCEV,0.003481304
708,2045,South Korea,aviation,BEV,0.004599110405
711,2045,South Korea,rail,BEV,0.000176213
712,2045,South Korea,rail,Electric,0.005795296
713,2045,South Korea,rail,FCEV,0.00027423
716,2045,South Korea,road,BEV,0.07269841128980001
717,2045,South Korea,road,FCEV,0.024451533933
721,2045,South Korea,shipping,BEV,0.0002195939
722,2045,South Korea,shipping,FCEV,0.0009953588
725,2045,USA,aviation,BEV,0.045669542
728,2045,USA,rail,BEV,0.0717186
729,2045,USA,rail,Electric,0.0746256
730,2045,USA,rail,FCEV,0.0874334
733,2045,USA,road,BEV,1.7344168938
734,2045,USA,road,FCEV,0.640782572
738,2045,USA,shipping,BEV,0.005427095
739,2045,USA,shipping,FCEV,0.005860440000000001
742,2050,Australia_NZ,aviation,BEV,0.0083136497
745,2050,Australia_NZ,rail,BEV,0.00309167
746,2050,Australia_NZ,rail,Electric,0.031055065
747,2050,Australia_NZ,rail,FCEV,0.00402985
750,2050,Australia_NZ,road,BEV,0.09679718829278999
751,2050,Australia_NZ,road,FCEV,0.056080716387
755,2050,Australia_NZ,shipping,BEV,0.0009730066
756,2050,Australia_NZ,shipping,FCEV,0.000667561
759,2050,Canada,aviation,BEV,0.011742037720000001
762,2050,Canada,rail,BEV,0.00590265
763,2050,Canada,rail,Electric,0.006903806
764,2050,Canada,rail,FCEV,0.00738895
767,2050,Canada,road,BEV,0.15688584382131
768,2050,Canada,road,FCEV,0.069316387771
772,2050,Canada,shipping,BEV,0.0013838483
773,2050,Canada,shipping,FCEV,0.00041235299999999996
776,2050,EU-15,aviation,BEV,0.054344169
779,2050,EU-15,rail,BEV,0.00472178
780,2050,EU-15,rail,Electric,0.26004322999999996
781,2050,EU-15,rail,FCEV,0.00751911
784,2050,EU-15,road,BEV,0.5832098838996999
785,2050,EU-15,road,FCEV,0.34240495766449996
789,2050,EU-15,shipping,BEV,0.0059083
790,2050,EU-15,shipping,FCEV,0.015740583000000002
793,2050,European Free Trade Association,aviation,BEV,0.004258994
796,2050,European Free Trade Association,rail,BEV,0.00046266
797,2050,European Free Trade Association,rail,Electric,0.019313939
798,2050,European Free Trade Association,rail,FCEV,0.000733031
801,2050,European Free Trade Association,road,BEV,0.022055815460552002
802,2050,European Free Trade Association,road,FCEV,0.0128222839367
806,2050,European Free Trade Association,shipping,BEV,0.0017460862
807,2050,European Free Trade Association,shipping,FCEV,0.0003440677
810,2050,Russia,aviation,BEV,0.022513086100000003
813,2050,Russia,rail,BEV,0.0545071
814,2050,Russia,rail,Electric,0.24914818
815,2050,Russia,rail,FCEV,0.0556235
818,2050,Russia,road,BEV,0.157919979075
819,2050,Russia,road,FCEV,0.0588903067
823,2050,Russia,shipping,BEV,0.00279244
824,2050,Russia,shipping,FCEV,0.011936573
827,2050,South Korea,aviation,BEV,0.011045886
830,2050,South Korea,rail,BEV,0.000188992
831,2050,South Korea,rail,Electric,0.00562875
832,2050,South Korea,rail,FCEV,0.000296822
835,2050,South Korea,road,BEV,0.07265943019400001
836,2050,South Korea,road,FCEV,0.0259031637
840,2050,South Korea,shipping,BEV,0.000622183
841,2050,South Korea,shipping,FCEV,0.0032143699
844,2050,USA,aviation,BEV,0.1165558943
847,2050,USA,rail,BEV,0.0748177
848,2050,USA,rail,Electric,0.0818719
849,2050,USA,rail,FCEV,0.0908159
852,2050,USA,road,BEV,1.963768599
853,2050,USA,road,FCEV,0.79776647
857,2050,USA,shipping,BEV,0.01475366
858,2050,USA,shipping,FCEV,0.01822336
861,2055,Australia_NZ,aviation,BEV,0.0169549333
864,2055,Australia_NZ,rail,BEV,0.00328126
865,2055,Australia_NZ,rail,Electric,0.031755155
866,2055,Australia_NZ,rail,FCEV,0.00427527
869,2055,Australia_NZ,road,BEV,0.100585534686
870,2055,Australia_NZ,road,FCEV,0.0631786109
874,2055,Australia_NZ,shipping,BEV,0.001924424
875,2055,Australia_NZ,shipping,FCEV,0.001371412
878,2055,Canada,aviation,BEV,0.0238594732
881,2055,Canada,rail,BEV,0.00622575
882,2055,Canada,rail,Electric,0.0071007629999999995
883,2055,Canada,rail,FCEV,0.00776832
886,2055,Canada,road,BEV,0.1609888421194
887,2055,Canada,road,FCEV,0.0784043078
891,2055,Canada,shipping,BEV,0.0027474927
892,2055,Canada,shipping,FCEV,0.0007667469999999999
