,Year,region,mode,technology,value
560,2040,European Free Trade Association,rail,FCEV,0.00129546
563,2040,European Free Trade Association,road,BEV,0.03347033014991
564,2040,European Free Trade Association,road,FCEV,0.0144351039829
568,2040,European Free Trade Association,shipping,BEV,0.000160635539
569,2040,European Free Trade Association,shipping,FCEV,7.752888e-05
572,2040,Russia,aviation,BEV,0.003275176637
575,2040,Russia,rail,BEV,0.0646126
576,2040,Russia,rail,Electric,0.20669063
577,2040,Russia,rail,FCEV,0.0740766
580,2040,Russia,road,BEV,0.29272899230175
581,2040,Russia,road,FCEV,0.075601623337
585,2040,Russia,shipping,BEV,0.0002059196
586,2040,Russia,shipping,FCEV,0.0009380486
589,2040,South Korea,aviation,BEV,0.0016249135066
592,2040,South Korea,rail,BEV,0.000715535
593,2040,South Korea,rail,Electric,0.008033769999999999
594,2040,South Korea,rail,FCEV,0.00117545
597,2040,South Korea,road,BEV,0.12223498510700001
598,2040,South Korea,road,FCEV,0.03226010954
602,2040,South Korea,shipping,BEV,6.84776e-05
603,2040,South Korea,shipping,FCEV,0.0002463349
606,2040,USA,aviation,BEV,0.01835565037
609,2040,USA,rail,BEV,0.0703563
610,2040,USA,rail,Electric,0.0508585
611,2040,USA,rail,FCEV,0.0879076
614,2040,USA,road,BEV,1.957111580716
615,2040,USA,road,FCEV,0.5777197001
619,2040,USA,shipping,BEV,0.0011963323
620,2040,USA,shipping,FCEV,0.001536216
623,2045,Australia_NZ,aviation,BEV,0.0026140912
626,2045,Australia_NZ,rail,BEV,0.00718883
627,2045,Australia_NZ,rail,Electric,0.0241545483
628,2045,Australia_NZ,rail,FCEV,0.00951265
631,2045,Australia_NZ,road,BEV,0.17858590812819003
632,2045,Australia_NZ,road,FCEV,0.09050372505
636,2045,Australia_NZ,shipping,BEV,0.00041872397
637,2045,Australia_NZ,shipping,FCEV,0.0002674964
640,2045,Canada,aviation,BEV,0.0029479777140000002
643,2045,Canada,rail,BEV,0.0148986
644,2045,Canada,rail,Electric,0.004966456
645,2045,Canada,rail,FCEV,0.0193972
648,2045,Canada,road,BEV,0.23034380864770998
649,2045,Canada,road,FCEV,0.09078542435999999
653,2045,Canada,shipping,BEV,0.00043234029999999996
654,2045,Canada,shipping,FCEV,0.0002972249
657,2045,EU-15,aviation,BEV,0.016161532899999997
660,2045,EU-15,rail,BEV,0.0119817
661,2045,EU-15,rail,Electric,0.1997234
662,2045,EU-15,rail,FCEV,0.0196648
665,2045,EU-15,road,BEV,0.9853795510199
666,2045,EU-15,road,FCEV,0.47506391228949
670,2045,EU-15,shipping,BEV,0.001962993
671,2045,EU-15,shipping,FCEV,0.00523384
674,2045,European Free Trade Association,aviation,BEV,0.001022872011
677,2045,European Free Trade Association,rail,BEV,0.000889472
678,2045,European Free Trade Association,rail,Electric,0.01642899
679,2045,European Free Trade Association,rail,FCEV,0.00145463
682,2045,European Free Trade Association,road,BEV,0.036944291037776
683,2045,European Free Trade Association,road,FCEV,0.017709296798999997
687,2045,European Free Trade Association,shipping,BEV,0.00044807114999999997
688,2045,European Free Trade Association,shipping,FCEV,0.0002597026
691,2045,Russia,aviation,BEV,0.00851827317
694,2045,Russia,rail,BEV,0.0724516
695,2045,Russia,rail,Electric,0.20690319999999998
696,2045,Russia,rail,FCEV,0.0837343
699,2045,Russia,road,BEV,0.32566718633709996
700,2045,Russia,road,FCEV,0.09567754334
704,2045,Russia,shipping,BEV,0.000616415
705,2045,Russia,shipping,FCEV,0.003552693
708,2045,South Korea,aviation,BEV,0.003866439149
711,2045,South Korea,rail,BEV,0.000802317
712,2045,South Korea,rail,Electric,0.007909649999999999
713,2045,South Korea,rail,FCEV,0.00135194
716,2045,South Korea,road,BEV,0.13110887472
717,2045,South Korea,road,FCEV,0.037428223600000005
721,2045,South Korea,shipping,BEV,0.0001951145
722,2045,South Korea,shipping,FCEV,0.0009055294
725,2045,USA,aviation,BEV,0.04426711342
728,2045,USA,rail,BEV,0.0752388
