,Year,region,mode,technology,value
259,2035,Africa_Western,aviation,BEV,0.0002515273399
262,2035,Africa_Western,rail,BEV,0.00101361
263,2035,Africa_Western,rail,Electric,0.00010519340000000001
264,2035,Africa_Western,rail,FCEV,0.00131479
267,2035,Africa_Western,road,BEV,0.133186607588746
268,2035,Africa_Western,road,FCEV,0.041064388931
271,2035,Africa_Western,shipping,BEV,1.852316e-05
272,2035,Africa_Western,shipping,FCEV,2.432266e-05
275,2035,Brazil,aviation,BEV,0.00033398717410000004
278,2035,Brazil,rail,BEV,0.00453396
279,2035,Brazil,rail,Electric,0.013329736
280,2035,Brazil,rail,FCEV,0.00660392
283,2035,Brazil,road,BEV,0.31160102490130004
284,2035,Brazil,road,FCEV,0.08122512988
288,2035,Brazil,shipping,BEV,4.614926e-05
289,2035,Brazil,shipping,FCEV,5.33849e-05
292,2035,China,aviation,BEV,0.006295108782
295,2035,China,rail,BEV,0.156196
296,2035,China,rail,Electric,0.31243139
297,2035,China,rail,FCEV,0.196957
300,2035,China,road,BEV,0.54720650974456
301,2035,China,road,FCEV,0.19692486559000003
305,2035,China,shipping,BEV,0.0021905145
306,2035,China,shipping,FCEV,0.001161422
309,2035,India,aviation,BEV,0.0009076814192
312,2035,India,rail,BEV,0.0166805
313,2035,India,rail,Electric,0.08848744
314,2035,India,rail,FCEV,0.024293
317,2035,India,road,BEV,0.26366335667529994
318,2035,India,road,FCEV,0.11077830229999999
322,2035,India,shipping,BEV,3.622872e-05
323,2035,India,shipping,FCEV,7.82983e-05
326,2035,South Asia,aviation,BEV,2.4255599089999998e-05
329,2035,South Asia,rail,BEV,0.000738945
330,2035,South Asia,rail,Electric,0.0002777042
331,2035,South Asia,rail,FCEV,0.000710362
334,2035,South Asia,road,BEV,0.06834508919105999
335,2035,South Asia,road,FCEV,0.026264621
339,2035,South Asia,shipping,BEV,2.8377451e-05
340,2035,South Asia,shipping,FCEV,1.799868e-05
343,2040,Africa_Western,aviation,BEV,0.000931328961
346,2040,Africa_Western,rail,BEV,0.00147455
347,2040,Africa_Western,rail,Electric,0.0001428086
348,2040,Africa_Western,rail,FCEV,0.00191432
351,2040,Africa_Western,road,BEV,0.23425788315699397
352,2040,Africa_Western,road,FCEV,0.08087925745100001
355,2040,Africa_Western,shipping,BEV,6.609563e-05
356,2040,Africa_Western,shipping,FCEV,9.47615e-05
359,2040,Brazil,aviation,BEV,0.0008962975260000001
362,2040,Brazil,rail,BEV,0.00574306
363,2040,Brazil,rail,Electric,0.014947498
364,2040,Brazil,rail,FCEV,0.00841143
367,2040,Brazil,road,BEV,0.4019618707252
368,2040,Brazil,road,FCEV,0.11466970594
372,2040,Brazil,shipping,BEV,0.0001300776
373,2040,Brazil,shipping,FCEV,0.000171244
376,2040,China,aviation,BEV,0.01700752084
379,2040,China,rail,BEV,0.214229
380,2040,China,rail,Electric,0.26460744
381,2040,China,rail,FCEV,0.272149
384,2040,China,road,BEV,0.69061384357698
385,2040,China,road,FCEV,0.28796302659
389,2040,China,shipping,BEV,0.006170836000000001
390,2040,China,shipping,FCEV,0.003587363
393,2040,India,aviation,BEV,0.003005375433
396,2040,India,rail,BEV,0.024796
397,2040,India,rail,Electric,0.08756222
398,2040,India,rail,FCEV,0.0363902
401,2040,India,road,BEV,0.5049895343705
402,2040,India,road,FCEV,0.204049919
406,2040,India,shipping,BEV,0.00011753100000000001
407,2040,India,shipping,FCEV,0.0002934617
410,2040,South Asia,aviation,BEV,7.828802890000001e-05
413,2040,South Asia,rail,BEV,0.001024188
414,2040,South Asia,rail,Electric,0.00045381670000000003
415,2040,South Asia,rail,FCEV,0.0009795210000000001
418,2040,South Asia,road,BEV,0.11679645502148998
419,2040,South Asia,road,FCEV,0.0464580495667
423,2040,South Asia,shipping,BEV,8.4470952e-05
424,2040,South Asia,shipping,FCEV,6.013994e-05
427,2045,Africa_Western,aviation,BEV,0.00330475098
430,2045,Africa_Western,rail,BEV,0.00185292
431,2045,Africa_Western,rail,Electric,0.000205598
432,2045,Africa_Western,rail,FCEV,0.00242233
435,2045,Africa_Western,road,BEV,0.3603793098597
436,2045,Africa_Western,road,FCEV,0.12768086979999999
439,2045,Africa_Western,shipping,BEV,0.0002360448
440,2045,Africa_Western,shipping,FCEV,0.000402634
443,2045,Brazil,aviation,BEV,0.0023426052299999997
446,2045,Brazil,rail,BEV,0.00632941
447,2045,Brazil,rail,Electric,0.016605584
448,2045,Brazil,rail,FCEV,0.00933895
451,2045,Brazil,road,BEV,0.45936393640900003
452,2045,Brazil,road,FCEV,0.1397972164
456,2045,Brazil,shipping,BEV,0.0003859114
457,2045,Brazil,shipping,FCEV,0.000618457
460,2045,China,aviation,BEV,0.0427135254
463,2045,China,rail,BEV,0.241938
464,2045,China,rail,Electric,0.2598966
465,2045,China,rail,FCEV,0.312451
468,2045,China,road,BEV,0.774611616299
469,2045,China,road,FCEV,0.337981877
473,2045,China,shipping,BEV,0.016894318
474,2045,China,shipping,FCEV,0.01179617
477,2045,India,aviation,BEV,0.00918636436
480,2045,India,rail,BEV,0.0299673
481,2045,India,rail,Electric,0.0922392
482,2045,India,rail,FCEV,0.0443825
485,2045,India,road,BEV,0.7713472824689999
486,2045,India,road,FCEV,0.28910585744999995
490,2045,India,shipping,BEV,0.00036177240000000003
491,2045,India,shipping,FCEV,0.0010968010000000001
494,2045,South Asia,aviation,BEV,0.000235099714
497,2045,South Asia,rail,BEV,0.001220222
498,2045,South Asia,rail,Electric,0.000740771
499,2045,South Asia,rail,FCEV,0.001168838
502,2045,South Asia,road,BEV,0.16788339307599998
503,2045,South Asia,road,FCEV,0.064575371406
507,2045,South Asia,shipping,BEV,0.00023008187
508,2045,South Asia,shipping,FCEV,0.000192561
511,2050,Africa_Western,aviation,BEV,0.0104206344
514,2050,Africa_Western,rail,BEV,0.00223264
515,2050,Africa_Western,rail,Electric,0.0003020845
516,2050,Africa_Western,rail,FCEV,0.00294199
519,2050,Africa_Western,road,BEV,0.511552676663
520,2050,Africa_Western,road,FCEV,0.1804590349
523,2050,Africa_Western,shipping,BEV,0.0006566578999999999
524,2050,Africa_Western,shipping,FCEV,0.001381109
527,2050,Brazil,aviation,BEV,0.0057159355
530,2050,Brazil,rail,BEV,0.00676548
531,2050,Brazil,rail,Electric,0.018289359999999998
532,2050,Brazil,rail,FCEV,0.0100589
535,2050,Brazil,road,BEV,0.5077125570000001
536,2050,Brazil,road,FCEV,0.16283664099999998
540,2050,Brazil,shipping,BEV,0.0009703681
541,2050,Brazil,shipping,FCEV,0.001936924
544,2050,China,aviation,BEV,0.09838372990000001
547,2050,China,rail,BEV,0.258734
548,2050,China,rail,Electric,0.264817
549,2050,China,rail,FCEV,0.339918
552,2050,China,road,BEV,0.8356477709700001
553,2050,China,road,FCEV,0.36815258100000003
557,2050,China,shipping,BEV,0.038386759
558,2050,China,shipping,FCEV,0.0328037
561,2050,India,aviation,BEV,0.0255838078
564,2050,India,rail,BEV,0.0342969
565,2050,India,rail,Electric,0.0983789
566,2050,India,rail,FCEV,0.0511728
569,2050,India,road,BEV,1.0463593335999999
570,2050,India,road,FCEV,0.3570951587000001
574,2050,India,shipping,BEV,0.0009149521
575,2050,India,shipping,FCEV,0.003305647
578,2050,South Asia,aviation,BEV,0.0006837497199999999
581,2050,South Asia,rail,BEV,0.001405989
582,2050,South Asia,rail,Electric,0.001197804
583,2050,South Asia,rail,FCEV,0.001350833
586,2050,South Asia,road,BEV,0.222690376074
587,2050,South Asia,road,FCEV,0.08132766242999999
591,2050,South Asia,shipping,BEV,0.00055459724
592,2050,South Asia,shipping,FCEV,0.0005598765
595,2055,Africa_Western,aviation,BEV,0.024707000599999997
